epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,58.8767,1.21635,9.38576,0.01255,0.0018,0.74653,0.04495,0.02067,1.02549,6.66489,0.01614,0.0014225,0.000474168,0.0014225,0.000474168,0.0014225,0.000474168,0.0014225,0.000474168
2,101.556,1.09632,7.80662,0.01133,0.44716,0.24777,0.22865,0.14748,0.97803,5.60288,0.01485,0.00282798,0.00094266,0.00282798,0.00094266,0.00282798,0.00094266,0.00282798,0.00094266
3,142.115,1.1379,5.8566,0.0116,0.42153,0.47684,0.44114,0.29295,1.06075,3.43038,0.01592,0.00420988,0.00140329,0.00420988,0.00140329,0.00420988,0.00140329,0.00420988,0.00140329
4,185.729,1.13451,4.2184,0.01183,0.55161,0.60181,0.61807,0.44176,1.01927,1.46473,0.01543,0.0041809,0.00139363,0.0041809,0.00139363,0.0041809,0.00139363,0.0041809,0.00139363
5,227.318,1.08917,3.00367,0.01092,0.65578,0.68259,0.73438,0.54021,1.00634,1.13536,0.0152,0.00414553,0.00138184,0.00414553,0.00138184,0.00414553,0.00138184,0.00414553,0.00138184
6,262.788,1.0985,2.34324,0.01113,0.72319,0.73693,0.81546,0.60699,1.00524,0.93093,0.01495,0.00411016,0.00137005,0.00411016,0.00137005,0.00411016,0.00137005,0.00411016,0.00137005
7,299.738,1.06094,1.9099,0.01041,0.71752,0.79576,0.83942,0.62464,0.97351,0.86162,0.01414,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826
8,340.941,1.03264,1.67032,0.01034,0.7599,0.7931,0.85272,0.63366,0.99309,0.84254,0.01448,0.00403943,0.00134648,0.00403943,0.00134648,0.00403943,0.00134648,0.00403943,0.00134648
9,390.709,1.02901,1.47037,0.0104,0.79181,0.79205,0.85495,0.63164,0.96526,0.85319,0.01405,0.00400406,0.00133469,0.00400406,0.00133469,0.00400406,0.00133469,0.00400406,0.00133469
10,430.333,1.02263,1.31686,0.01044,0.82452,0.79374,0.86862,0.66423,0.95914,0.8052,0.01409,0.00396869,0.0013229,0.00396869,0.0013229,0.00396869,0.0013229,0.00396869,0.0013229
11,477.811,1.00913,1.25562,0.01024,0.8235,0.81662,0.87786,0.67949,0.92485,0.76855,0.01359,0.00393332,0.00131111,0.00393332,0.00131111,0.00393332,0.00131111,0.00393332,0.00131111
12,519.976,0.98579,1.11107,0.0098,0.87359,0.82801,0.90356,0.68309,0.9602,0.71112,0.01402,0.00389795,0.00129932,0.00389795,0.00129932,0.00389795,0.00129932,0.00389795,0.00129932
13,563.664,0.99447,1.04748,0.00978,0.84407,0.83527,0.87877,0.68319,0.92003,0.73166,0.01326,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
14,607.974,0.98082,1.0252,0.00959,0.83358,0.85691,0.90367,0.69714,0.93881,0.65604,0.01335,0.00382722,0.00127574,0.00382722,0.00127574,0.00382722,0.00127574,0.00382722,0.00127574
15,651.789,0.95065,0.9518,0.00963,0.82162,0.88405,0.90397,0.69492,0.92889,0.67588,0.01318,0.00379185,0.00126395,0.00379185,0.00126395,0.00379185,0.00126395,0.00379185,0.00126395
